Title,Published_date,Views,Likes,Comments
Tom Curran Interview | Lahore Qalandars vs Islamabad United | Match 16 | HBL PSL 8 | MI2T,2023-02-27T16:48:18Z,3574,114,1
1st Innings Highlights | Lahore Qalandars vs Islamabad United | Match 16 | HBL PSL 8 | MI2T,2023-02-27T16:27:20Z,612887,10211,103
Excellent Bowling By Tom Curran | Lahore Qalandars vs Islamabad United | Match 16 | HBL PSL 8 | MI2T,2023-02-27T16:15:02Z,22663,229,6
Rashid Khan's helicopter shot takes flight in Lahore! 🚁That travelled 9️⃣9️⃣ metres 🤯#HBLPSL8,2023-02-27T16:06:12Z,52259,4270,17
Entertainment galore! David Wiese's enterprising cameo #HBLPSL8 | #SabSitarayHumaray | #LQvIU,2023-02-27T16:05:13Z,12928,564,1
𝗕𝗟𝗜𝗡𝗗𝗘𝗥! Zeeshan Zameer's excellent catch gives Tom Curran his third wicket 👏,2023-02-27T16:05:11Z,6673,311,1
Ill-fated reverse sweep spells the end of Hussain Talat ❌ #HBLPSL8 | #SabSitarayHumaray | #LQvIU,2023-02-27T16:05:08Z,3471,149,0
Pouched cleanly ✅ Tom Curran adds another prized wicket to the list 👏,2023-02-27T16:05:05Z,3218,124,1
𝘑𝘶𝘴𝘵 𝘰𝘷𝘦𝘳 𝘵𝘩𝘦 𝘧𝘪𝘦𝘭𝘥𝘦𝘳!All class from Abdullah Shafique ✨#HBLPSL8 | #SabSitarayHumaray | #LQvIU,2023-02-27T16:05:02Z,3448,161,1
Free-flowing Sam Billings and Abdullah Shafique 🙌 #HBLPSL8 | #SabSitarayHumaray | #LQvIU,2023-02-27T16:05:00Z,2783,171,1
Chopped on! And the middle pole is broken 😱 Tom Curran picks up a massive wicket.,2023-02-27T16:04:57Z,4666,241,4
HBL Parvaz cam: Rahmanullah Gurbaz wishes for dew to work in his favour 😅,2023-02-27T15:18:43Z,9284,579,5
Skipper Shadab Khan makes an instant impact ⚡#HBLPSL8 | #SabSitarayHumaray | #LQvIU,2023-02-27T15:18:16Z,18328,957,6
1st Innings Powerplay | Lahore Qalandars vs Islamabad United | Match 16 | HBL PSL 8 | MI2T,2023-02-27T15:10:00Z,91257,1365,21
6️⃣ more to Fakhar Zaman as he becomes the leading six-hitter in HBLPSL! 💪,2023-02-27T14:58:04Z,5030,240,1
Slippery slope 😬👀#HBLPSL8 | #SabSitarayHumaray | #LQvIU,2023-02-27T14:45:50Z,6580,361,5
Shaheen Afridi discusses the high standards of fast bowling in HBLPSL and life outside cricket,2023-02-27T14:37:37Z,13959,406,14
Hamaray Heroes powered by Kingdom Valley - Episode 16 l Noor Fatima Rashid,2023-02-27T14:27:55Z,3284,113,15
Gorgeous stroke as Tahir Baig slams the first six of the night 💥,2023-02-27T14:25:10Z,6235,283,9
Lahore Qalandars vs Islamabad United | Pitch Side Pre-Match Studio Show | Match 16 | MI2T,2023-02-27T14:16:43Z,4658,91,21
Expert Advice | Lahore Qalandars vs Islamabad United | Match 16 | HBL PSL 8 | MI2T,2023-02-27T14:04:14Z,5181,117,44
Toss & Pitch Report | Lahore Qalandars vs Islamabad United | Match 15 | HBL PSL 8 | MI2T,2023-02-27T13:48:55Z,32361,1094,49
Opener | Lahore Qalandars vs Islamabad United | Match 16 | HBL PSL 8 | MI2T,2023-02-27T13:13:53Z,9487,199,12
Let's Recap Peshawar Zalmi's Fall of Wickets And Boundaries | Match 15 | HBL PSL 8 | MI2T,2023-02-27T13:00:07Z,11542,286,10
Let's Recap Lahore Qalandars Fall of Wickets And Boundaries | Match 15 | HBL PSL 8 | MI2T,2023-02-27T12:00:02Z,4443,59,4
Spectacular Batting By Tom Kohler-Cadmore | Lahore vs Peshawar | Match 15 | HBL PSL 8 | MI2T,2023-02-27T11:00:37Z,11546,220,4
Great Partnership By Abdullah Shafique & Fakhar Zaman | Lahore vs Peshawar | HBL PSL 8 | MI2T,2023-02-27T10:00:04Z,4500,83,4
Blistering Knock By Abdullah Shafique | Lahore vs Peshawar | Match 15 | HBL PSL 8 | MI2T,2023-02-27T09:00:15Z,22908,476,23
Let's Recap Multan Sultans Fall of Wickets And Boundaries | Match 14 | HBL PSL 8 | MI2T,2023-02-27T08:00:30Z,6144,114,0
Let's Recap Karachi Kings Fall of Wickets And Boundaries | Match 14 | HBL PSL 8 | MI2T,2023-02-27T07:00:01Z,3687,71,2
Shoaib Malik Is On Fire | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-27T06:00:13Z,24515,284,2
Brilliant Partnership By Tayyab Tahir & Matthew Wade | Karachi vs Multan | HBL PSL 8 | MI2T,2023-02-27T05:00:20Z,2790,46,0
Shaheen vs Babar | Battle of the Stars | HBL PSL 8 | MI2T,2023-02-26T21:22:02Z,21618,485,21
Full Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T21:01:15Z,2492589,41242,580
Lahore Qalandars vs Peshawar Zalmi | Pitch Side End of Day Studio Show | Match 15 | MI2T,2023-02-26T20:48:44Z,19402,411,25
Short Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T20:34:20Z,947795,14114,246
Fakhar Zaman Interview | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T19:26:51Z,16461,696,19
Shaheen Afridi Interview | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T19:21:55Z,15297,719,23
Closer | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T19:07:30Z,6686,178,12
2nd Innings Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T19:00:17Z,439718,7937,188
Shaheen Afridi Picks Up Five Wicket Haul | Lahore vs Peshawar | Match 15 | HBL PSL 8 | MI2T,2023-02-26T18:45:01Z,81780,1582,47
Sikandar Raza Interview | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T18:35:46Z,8278,381,6
Abdullah Shafique Press Conference | HBL PSL 8,2023-02-26T18:30:18Z,16069,822,14
Babar Azam Interview | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T18:26:29Z,56487,2693,141
Tom Kohler-Cadmore Press Conference | HBL PSL 8,2023-02-26T18:14:12Z,9000,285,10
Contender for catch of the tournament! 🤯#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-02-26T18:04:36Z,32547,2029,11
Cool as you like from Zaman 🥶#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-02-26T18:00:09Z,15177,836,5
Two 𝐦𝐚𝐬𝐬𝐢𝐯𝐞 hits as Peshawar Zalmi inject momentum to their chase #HBLPSL8 | #LQvPZ,2023-02-26T17:58:41Z,35081,2118,3
𝑺𝒎𝒐𝒐𝒕𝒉 from Abdullah Shafique as Rashid Khan gets rid of the danger man ⚡,2023-02-26T17:57:52Z,38589,2037,10
Outfoxed with the slower one ☝️Timely wicket for Lahore Qalandars #HBLPSL8 | #LQvPZ,2023-02-26T17:56:41Z,11220,521,1
The TKC party boosts Peshawar Zalmi's chase 👏2️⃣1️⃣-ball half-century! #HBLPSL8 | #LQvPZ,2023-02-26T17:55:32Z,11205,662,4
So pleasing to watch 🌟#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-02-26T17:54:20Z,9543,632,5
Splendid striking 💣We are in awe of TKC 😲 #HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-02-26T17:53:08Z,13149,798,5
TKC powers it downtown 🚀#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-02-26T17:52:38Z,4329,216,1
Saim Ayub shows his class 👏 #HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-02-26T17:51:31Z,78575,4685,28
🦅🆚👑 The riveting battle between two of the finest cricketers in the world 💫,2023-02-26T17:50:46Z,11724,688,8
Shaheen Afridi is 🔛 fire ❤️‍🔥The perfect delivery to dismiss Babar Azam ✨#HBLPSL8 | #LQvPZ,2023-02-26T17:49:57Z,13586,774,8
"First ball: Bat broken ⚡Second ball: Stumps rattled 🎯PACE IS PACE, YAAR 🔥🔥#HBLPSL8 | #LQvPZ",2023-02-26T17:49:19Z,483381,27329,267
Sensational Batting By Saim Ayub | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T17:30:14Z,163928,2423,90
2nd Innings Powerplay | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T17:15:03Z,146743,2043,87
Daren Sammy opens up on his deep bond with Pakistan | HBL PSL 8 | MI2T,2023-02-26T16:54:57Z,6925,353,15
1st Innings Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T16:40:28Z,745728,13275,265
Sam Billings Interview | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T16:27:28Z,17212,422,17
Outclass Batting By Fakhar Zaman | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T16:19:57Z,60927,977,38
He's got all the shots 🌟What a way to bring up his half-century 👏#HBLPSL8 | #LQvPZ,2023-02-26T15:16:25Z,7623,322,3
Fakhar Zaman is in the mood! 💪 #HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-02-26T15:08:04Z,39346,3802,17
Hamaray Heroes powered by Kingdom Valley - Episode 15 l Rahima Adnan,2023-02-26T15:01:06Z,3877,180,14
1st Innings Powerplay | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T15:00:06Z,108347,1416,24
Hold the pose Abdullah 💫Classy shot to hit the first six of the night! 🙌#HBLPSL8 | #LQvPZ,2023-02-26T14:45:44Z,15053,975,7
Full Highlights | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T14:45:00Z,1130701,21192,370
Early strike! 🎯Wahab Riaz wins the battle with a cracking delivery 👏#HBLPSL8 | #LQvPZ,2023-02-26T14:43:35Z,6448,373,3
Short Highlights | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T14:20:37Z,556408,9501,229
Toss & Pitch Report | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T14:16:00Z,16136,442,24
Expert Advice | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T14:06:33Z,7194,296,15
Opener | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2T,2023-02-26T13:57:17Z,6613,146,4
Closer | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T13:34:17Z,6368,201,6
Mushtaq Ahmed Press Conference | HBL PSL 8,2023-02-26T13:31:14Z,13552,488,12
Tayyab Tahir Press Conference | HBL PSL 8,2023-02-26T13:12:25Z,22500,919,17
2nd Innings Highlights | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T13:05:43Z,414347,8099,175
Akif gets his second! 🔥#SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T12:57:34Z,5099,234,2
Skipper gets him! #SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T12:57:31Z,6125,264,2
What. A. Beauty 😍#SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T12:57:28Z,3208,183,1
Anwar Ali takes off! #SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T12:57:25Z,9524,496,2
Shamsi is RAZOR SHARP today! #SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T12:57:20Z,2276,129,1
Cleaned him up! Shamsi on a roll 🔥#SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T12:42:51Z,17584,938,2
CATCH HAI YAAR! #SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T12:42:49Z,8122,526,2
Magical Spell By Tabraiz Shamsi | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T12:40:53Z,67007,1639,49
Shamsi with a prized wicket 🤩#SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T12:17:16Z,3416,213,5
Malik gets Roussow! 🔥#SabSitarayHumaray l #HBLPSL8 l #KKvMS | #HoJaJazbaati,2023-02-26T12:17:13Z,9612,683,7
There is a spike and Shan has to go! #SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T12:17:11Z,2354,149,0
2nd Innings Powerplay | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T12:15:14Z,36131,506,4
🔙 2 🔙 boundaries by Shan Masood 👏🏽#SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T11:46:01Z,2594,119,0
Tayyab Tahir Interview | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T11:41:26Z,8948,374,9
1st Innings Highlights | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T11:17:08Z,386269,7115,98
Fantastic Batting By Tayyab Tahir | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T11:09:28Z,29402,470,35
ZINNNG! 🏹Inhsanullah is at it again! #SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T11:05:09Z,6208,363,4
"They wanted it, they got it! Multan Sultans send Tayyab packing #HBLPSL8 l #KKvMS",2023-02-26T10:50:46Z,4930,260,0
Tayyab thunders it past the ropes 😍#SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T10:50:44Z,3367,191,1
When you get to your debut 5⃣0⃣ in the HBLPSL ❤️#SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T10:48:06Z,4654,247,5
Tayyab Tahir on the move! #SabSitarayHumaray l #HBLPSL8 l #KKvMS |,2023-02-26T10:11:35Z,7936,369,2
1st Innings Powerplay | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T10:02:29Z,75140,926,15
BIG WICKET for Multan Sultans 🙌🏽Anwar Ali gets Vince#SabSitarayHumaray l #HBLPSL8 l #KKvMS,2023-02-26T09:57:45Z,5460,252,1
"HELLO, KARACHI FROM James Vince 👋🏽#SabSitarayHumaray l #HBLPSL8 l #KKvMS",2023-02-26T09:57:43Z,2124,109,2
Karachi Kings vs Multan Sultans | Pitch Side Pre-Match Studio Show | Match 14 | MI2T,2023-02-26T09:55:32Z,8060,167,4
Hamaray Heroes powered by Kingdom Valley - Episode 14 l Shahir Afridi,2023-02-26T09:44:35Z,1949,69,5
Ravi Bopara Interview | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T09:30:09Z,6527,122,2
Pitch Report | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T09:15:06Z,1857,61,3
Toss | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T08:58:28Z,42639,1071,40
Opener | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T08:51:23Z,9378,222,14
Expert Advice | Karachi Kings vs Multan Sultans | Match 14 | HBL PSL 8 | MI2T,2023-02-26T08:44:58Z,8283,193,4
Training under lights ✨| Raring to go at Gaddafi Stadium 🏟️ | #HBLPSL8 | #SabSitarayHumaray | MI2T,2023-02-25T17:09:11Z,19360,510,14
Brilliant Partnership By Azam Khan & Asif Ali | Quetta vs Islamabad | Match 13 | HBL PSL 8 | MI2T,2023-02-25T15:00:01Z,26151,600,8
Peshawar Zalmi's Captain Babar Azam Press Conference | HBL PSL 8,2023-02-25T14:45:17Z,131000,6197,385
HBL PSL Films - The Edge of Victory | Multan vs Karachi | A Tale of Cricketing Drama & Tension,2023-02-25T14:38:04Z,246598,5149,212
Lahore Qalandars Captain Shaheen Shah Afridi Press Conference | HBL PSL 8,2023-02-25T14:31:47Z,76211,3082,51
Let's Recap Quetta Gladiators Fall of Wickets And Boundaries | Match 13 | HBL PSL 8 | MI2T,2023-02-25T13:00:35Z,16589,328,11
Incredible Bowling By Fazalhaq Farooqi | Quetta vs Islamabad | Match 13 | HBL PSL 8 | MI2T,2023-02-25T11:00:01Z,37140,259,16
📹 A glimpse at the practice flow 🏏Lahore Qalandars train at their home ground 🏟️ | HBL PSL 8 | MI2T,2023-02-25T10:43:08Z,33869,688,31
Great Bowling By Hasan Ali | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-25T09:00:23Z,10246,180,4
Let's Recap Islamabad United's Fall of Wickets And Boundaries | Match 13 | HBL PSL 8 | MI2T,2023-02-25T07:00:07Z,6838,100,8
Hassan Ali chats with star of the night Azam Khan on his blazing performance | HBL PSL 8 | MI2T,2023-02-24T20:27:42Z,300598,9324,181
Full Highlights | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T20:00:00Z,2006297,35163,709
Quetta Gladiators vs Islamabad United | Pitch Side End of Day Studio Show | Match 13 | MI2T,2023-02-24T19:47:36Z,9819,201,8
Short Highlights | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T19:18:43Z,755296,11542,197
Sarfaraz Ahmed Interview | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T18:37:21Z,14456,559,25
Azam Khan Press Conference | HBL PSL 8,2023-02-24T18:25:38Z,159819,4694,168
2nd Innings Highlights | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T18:24:09Z,266298,4417,66
Asif Ali Interview | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T18:22:33Z,10260,462,9
Quetta Gladiators Bowling Coach Umer Gul Press Conference | HBL PSL 8,2023-02-24T17:58:35Z,21892,651,14
Whacked it! 🚀 #SabSitarayHumaray l #HBLPSL8 l #QGvIU,2023-02-24T17:56:20Z,21020,1045,5
Fiery Fazal gets the Professor! #SabSitarayHumaray l #HBLPSL8 l #QGvIU,2023-02-24T17:15:01Z,14768,679,7
2nd Innings Powerplay | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T17:15:00Z,69189,807,14
Professor going downtown 🔥 #SabSitarayHumaray l #HBLPSL8 l #QGvIU,2023-02-24T17:10:00Z,15758,659,3
ABROARRR cause you deserve it 👏 #SabSitarayHumaray l #HBLPSL8 I #QGvIU,2023-02-24T17:07:00Z,29882,1763,11
Azam Khan Incredible 97 Off 42 Balls | Quetta vs Islamabad | Match 13 | HBL PSL 8 | MI2T,2023-02-24T17:00:11Z,334800,4249,178
What joy! Abrar-cadabra ensnares Roy. #SabSitarayHumaray l #HBLPSL8 I #QGvIU,2023-02-24T16:58:54Z,10668,514,5
𝐉𝐀𝐅𝐅𝐀zal Haq 😍#SabSitarayHumaray l #HBLPSL8 I #QGvIU,2023-02-24T16:53:15Z,11253,575,10
Smeed in action 🙌 #SabSitarayHumaray l #HBLPSL8 I #QGvIU,2023-02-24T16:41:32Z,4761,181,2
1st Innings Highlights | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T16:32:08Z,554926,10592,298
Azam Khan Interview | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T16:10:19Z,100729,3224,109
Quetta Gladiators vs Islamabad United | Pitch Side Pre-Match Studio Show | Match 13 | MI2T,2023-02-24T15:42:30Z,11682,179,7
“There’s no ground bigger in the world if he middles it” Comms are right. We stan Azam Khan #HBLPSL8,2023-02-24T15:34:24Z,53749,2654,15
AA GAYA Asif Ali👋🏽#SabSitarayHumaray l #HBLPSL8 l #QGvIU,2023-02-24T15:33:05Z,5812,336,1
1st Innings Powerplay | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T15:15:00Z,87247,1260,12
Aimal Khan gets his debut wicket and it's none other than Munro the danger man.,2023-02-24T15:14:10Z,16864,427,2
UH OH 🫢 Odean gets Shadab. Quetta Gladiators get their 3rd breakthrough.,2023-02-24T15:14:08Z,7656,322,2
IT'S HASNAIN AGAIN! 😮Muhammad Hasnain puts another dent in the ISLU batting lineup 👌🏽,2023-02-24T15:14:05Z,8962,445,7
Two 6⃣s more for Colin Munro🔥#SabSitarayHumaray l #HBLPSL8 l #QGvIU,2023-02-24T15:14:03Z,5234,257,0
Hasnain sends Gurbaaz packing for the night. BIG wicket for Quetta Gladiators👌🏽,2023-02-24T15:14:00Z,3745,179,0
Gurbaz gets it going! 😍#SabSitarayHumaray l #HBLPSL8 l #QGvIU,2023-02-24T15:13:58Z,2851,163,0
Iftikhar Ahmed Interview | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T14:05:07Z,7966,382,10
Pitch Report | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T13:56:37Z,1805,51,2
Toss | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T13:50:24Z,18619,506,8
Expert Advice | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T13:37:51Z,4520,105,3
Opener | Quetta Gladiators vs Islamabad United | Match 13 | HBL PSL 8 | MI2T,2023-02-24T13:20:48Z,17603,502,24
Hamaray Heroes powered by Kingdom Valley - Episode 13 l Ali Mesum,2023-02-24T12:47:06Z,1761,84,13
Let's Recap Islamabad United's Fall of Wickets And Boundaries | Match 12 | HBL PSL 8 | MI2T,2023-02-24T09:00:29Z,6164,92,6
Let's Recap Peshawar Zalmi's Fall of Wickets And Boundaries | Match 12 | HBL PSL 8 | MI2T,2023-02-24T07:00:11Z,9543,165,5
Full Highlights | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T19:30:00Z,1452099,27240,476
Peshawar Zalmi vs Islamabad United | Pitch Side End of Day Studio Show | Match 12 | MI2T,2023-02-23T18:57:30Z,7317,169,5
Short Highlights | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T18:49:41Z,716621,11986,283
Rahmanullah Gurbaz Press Conference | HBL PSL 8,2023-02-23T17:57:51Z,34926,1379,61
2nd Innings Highlights | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T17:53:56Z,315628,5690,118
Babar Azam Press Conference | HBL PSL 8,2023-02-23T17:43:04Z,111346,4476,322
Babar Azam Interview | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T17:40:32Z,14870,661,49
Rahmanullah Gurbaz Interview | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T17:35:42Z,12983,494,23
Rahmanullah Gurbaz Is On Fire | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T17:30:05Z,31343,560,20
2nd Innings Powerplay | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T17:01:59Z,77678,853,19
FINALLY! Peshawar Zalmi get the big wicket and send Gurbaz back l #HBLPSL8 l #PZvIU,2023-02-23T17:00:46Z,28870,1328,5
Classy Bowling By Hasan Ali | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T16:45:01Z,108252,1123,28
✅ 50 UP for Gurbaz Islamabad United cruising on! #SabSitarayHumaray l  #PZvIU,2023-02-23T16:44:56Z,7809,398,2
"GO, GURBAAZ 🙌🏽#SabSitarayHumaray l #HBLPSL8 l #PZvIU",2023-02-23T16:34:18Z,28589,944,5
𝑲𝑯𝑶𝑶𝑩𝑺𝑼𝑹𝑨𝑻 😍End of the show for Munro! #SabSitarayHumaray l #HBLPSL8 l #PZvIU,2023-02-23T16:33:20Z,9264,283,2
1st Innings Highlights | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T16:11:15Z,518280,8573,123
Brilliant Batting By Babar Azam | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T15:58:23Z,38953,682,79
Faheem Ashraf Interview | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T15:53:00Z,5436,176,5
First for Faheem ☝️🏽Shanaka departs. #SabSitarayHumaray l #HBLPSL8 l #PZvIU,2023-02-23T15:42:48Z,15520,769,4
Inject this into our veins 😍😍 #SabSitarayHumaray l #HBLPSL8 l #PZvIU,2023-02-23T15:18:42Z,25172,1725,22
⛔️The Red Hot spell continues for Hasan Ali🔥⛔️ #SabSitarayHumaray l #HBLPSL8 l #PZvIU,2023-02-23T15:17:36Z,15706,510,0
1st Innings Powerplay | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T15:12:25Z,94117,1354,73
Peshawar Zalmi vs Islamabad United | Pitch Side Pre-Match Studio Show | Match 12 | MI2T,2023-02-23T15:06:45Z,7660,252,11
OOF 👌🏽 Mubasir cleans him up! #SabSitarayHumaray l #HBLPSL8 l #PZvIU,2023-02-23T15:03:33Z,6834,323,1
SO CLASSY Shadab Khan 😍Islamabad skipper with the big breakthrough  #HBLPSL8 l #PZvIU,2023-02-23T15:02:48Z,10397,593,3
"Always on the driving seat, Babar Azam 🔥#SabSitarayHumaray l #HBLPSL8 l #PZvIU",2023-02-23T14:42:57Z,30048,3048,20
𝐴𝑙𝑒𝑥𝑎 𝑝𝑙𝑎𝑦 '𝑈𝑛𝑠𝑡𝑜𝑝𝑝𝑎𝑏𝑙𝑒' Peshawar Zalmi batters setting the mood 🎶 l #HBLPSL8 l #PZvIU,2023-02-23T14:35:27Z,13704,751,2
Mohammad Haris Interview | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T14:33:46Z,16759,605,28
Opener | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T14:27:27Z,22287,512,18
Toss | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T14:15:11Z,22464,613,21
Pitch Report | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T14:09:28Z,1549,49,3
Rumman Raees Interview | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T13:56:35Z,1957,91,8
Expert Advice | Peshawar Zalmi vs Islamabad United | Match 12 | HBL PSL 8 | MI2T,2023-02-23T13:49:36Z,2931,86,9
Hamaray Heroes powered by Kingdom Valley - Episode 12 l Azima Dhanjee and Arhum Ishtiaq,2023-02-23T13:38:52Z,4067,219,11
"When in Karachi, Beach Day is a must ☝️ 🏖️ | Islamabad United | HBL PSL 8 | MI2T",2023-02-23T10:36:22Z,34751,1194,48
Stars Of Tomorrow Talk About The Inspiration From Watching Their Heroes In Action | HBL PSL 8 | MI2T,2023-02-23T09:28:50Z,6027,199,5
Let's Recap Karachi Kings Fall of Wickets And Boundaries | Match 11 | HBL PSL 8 | MI2T,2023-02-23T09:00:10Z,8052,108,9
Let's Recap Multan Sultans Fall of Wickets And Boundaries | Match 11 | HBL PSL 8 | MI2T,2023-02-23T07:00:07Z,3525,69,10
Full Highlights | Multan Sultans vs Karachi Kings | Match 11 | HBL PSL 8 | MI2T,2023-02-22T19:19:27Z,1672232,34552,997
