Title,Published_date,Views,Likes,Comments
The paramotor act: bringing the Supernova Trophy in an epic fashion 🏆🪂 | HBL PSL 8 | MI2T,2023-03-18T16:53:34Z,102815,4052,89
1st Innings Highlights | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T16:46:29Z,661857,9151,203
𝐒𝐇𝐀𝐇𝐄𝐍𝐒𝐇𝐀𝐇 SHAHEEN 🔥🔥#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T16:39:03Z,46207,3146,10
"Be Afridi, Be very Afridi 🦅#HBLPSL8 | #SabSitarayHumaray | #MSvLQ",2023-03-18T16:39:01Z,91299,4239,8
Abdullah Shafique packed quite a punch in his cracking half-century 🥊#HBLPSL8 | #MSvLQ,2023-03-18T16:38:48Z,45296,2709,11
Shaheen doing Afridi things 😎#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T16:38:46Z,131595,6996,21
BOOM BOOM in town! 💥#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T16:38:44Z,20399,1530,8
SPINNERS DOMINATION! 🌪️#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T16:38:42Z,22729,1378,4
Usman 🤝 Usama | A much-needed wicket for Multan Sultans ☝️#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T16:38:40Z,16474,861,2
Some innovation from Fauji 😳#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T16:38:38Z,14631,772,1
Sweeet sound off the bat ✨Abdullah Shafique showing his class 👏#HBLPSL8 | #MSvLQ,2023-03-18T16:38:36Z,18007,1026,2
Trademark celebration 🏹Ihsanullah is pumped! 👊#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T16:38:33Z,17823,957,1
Tahir serving some gems for the home fans 👌#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T16:38:31Z,14405,772,2
MTB takes off in the final 🚀#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T16:38:29Z,7849,549,1
Shaheen Afridi Is On Fire | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T16:23:37Z,314877,3883,209
Shafqat Amanat Ali Performance | HBL PSL 8 Curtain Closer | MI2T,2023-03-18T15:55:44Z,21991,665,32
Full HBL PSL 8 Curtain Closer Ceremony | MI2T,2023-03-18T15:38:22Z,140799,4366,243
1st Innings Powerplay | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T15:24:20Z,70598,717,18
The Lahore sky lit up with beautiful fireworks on the occasion of the final 🎆😍 | HBL PSL 8 | MI2T,2023-03-18T15:19:42Z,11031,373,3
